﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211727000268詠升三號1-PV-3000N-V 1211727000268,1211727000266詠升三號2-PV-3000N-V 1211727000266,1211724000242詠升三號3-PV-3000N-V 1211724000242,1211724000238詠升三號4-PV-3000N-V 1211724000238,11O1730000872詠升三號5-PV-5000W-HV 11O1730000872,1211724000234詠升一號1-PV-3000N-V 1211724000234,1211724000230詠升一號2-PV-3000N-V 1211724000230,1211724000231詠升一號3-PV-3000N-V 1211724000231,1211727000269詠升一號4-PV-3000N-V 1211727000269,11O1730000873詠升一號5-PV-5000W-HV 11O1730000873
2018-02-05,20:40:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,21:00:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,21:20:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,21:40:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,22:00:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,22:20:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,22:40:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,23:00:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,23:20:00,0,0,0,0,0,0,0,0,0,0
2018-02-05,23:40:00,0,0,0,0,0,0,0,0,0,0
